Geography,Estimate
"Autauga County, Alabama",49744
"Baldwin County, Alabama",171447
"Barbour County, Alabama",29396
"Bibb County, Alabama",21473
"Blount County, Alabama",56550
"Butler County, Alabama",20155
"Calhoun County, Alabama",112952
"Chambers County, Alabama",34635
"Cherokee County, Alabama",24515
"Chilton County, Alabama",42104
"Clarke County, Alabama",26501
"Coffee County, Alabama",46698
"Colbert County, Alabama",54538
"Covington County, Alabama",36860
"Cullman County, Alabama",80476
"Dale County, Alabama",48144
"Dallas County, Alabama",43023
"DeKalb County, Alabama",67817
"Elmore County, Alabama",76949
"Escambia County, Alabama",37526
"Etowah County, Alabama",103045
"Franklin County, Alabama",30581
"Geneva County, Alabama",25775
"Houston County, Alabama",96918
"Jackson County, Alabama",53026
"Jefferson County, Alabama",659240
"Lauderdale County, Alabama",88520
"Lawrence County, Alabama",34094
"Lee County, Alabama",130485
"Limestone County, Alabama",73914
"Macon County, Alabama",22382
"Madison County, Alabama",312658
"Marengo County, Alabama",21176
"Marion County, Alabama",29561
"Marshall County, Alabama",87386
"Mobile County, Alabama",404012
"Monroe County, Alabama",22741
"Montgomery County, Alabama",225395
"Morgan County, Alabama",114874
"Pike County, Alabama",30179
"Randolph County, Alabama",22489
"Russell County, Alabama",50111
"St. Clair County, Alabama",77602
"Shelby County, Alabama",183014
"Talladega County, Alabama",80176
"Tallapoosa County, Alabama",40742
"Tuscaloosa County, Alabama",177333
"Walker County, Alabama",68871
"Winston County, Alabama",24153
"Anchorage Municipality, Alaska",278716
"Fairbanks North Star Borough, Alaska",96920
"Juneau City and Borough, Alaska",30732
"Kenai Peninsula Borough, Alaska",52870
"Matanuska-Susitna Borough, Alaska",82485
"Apache County, Arizona",69728
"Cochise County, Arizona",127882
"Coconino County, Arizona",127291
"Gila County, Arizona",51846
"Graham County, Arizona",34934
"La Paz County, Arizona",20045
"Maricopa County, Arizona",3862036
"Mohave County, Arizona",194907
"Navajo County, Arizona",110925
"Pima County, Arizona",994244
"Pinal County, Arizona",298963
"Santa Cruz County, Arizona",42412
"Yavapai County, Arizona",211327
"Yuma County, Arizona",189682
"Ashley County, Arkansas",22355
"Baxter County, Arkansas",41695
"Benton County, Arkansas",202363
"Boone County, Arkansas",36482
"Carroll County, Arkansas",27299
"Clark County, Arkansas",23700
"Cleburne County, Arkansas",25309
"Columbia County, Arkansas",24367
"Conway County, Arkansas",20646
"Craighead County, Arkansas",90977
"Crawford County, Arkansas",58884
