Geography,Institutionalized population: - Correctional institutions
"Autauga County, Alabama",100
"Baldwin County, Alabama",863
"Barbour County, Alabama",2464
"Bibb County, Alabama",900
"Blount County, Alabama",120
"Bullock County, Alabama",1397
"Butler County, Alabama",31
"Calhoun County, Alabama",357
"Chambers County, Alabama",173
"Cherokee County, Alabama",74
"Chilton County, Alabama",148
"Choctaw County, Alabama",33
"Clarke County, Alabama",59
"Clay County, Alabama",44
"Cleburne County, Alabama",26
"Coffee County, Alabama",356
"Colbert County, Alabama",75
"Conecuh County, Alabama",0
"Coosa County, Alabama",343
"Covington County, Alabama",125
"Crenshaw County, Alabama",14
"Cullman County, Alabama",102
"Dale County, Alabama",56
"Dallas County, Alabama",0
"DeKalb County, Alabama",65
"Elmore County, Alabama",4687
"Escambia County, Alabama",1535
"Etowah County, Alabama",405
"Fayette County, Alabama",53
"Franklin County, Alabama",75
"Geneva County, Alabama",40
"Greene County, Alabama",22
"Hale County, Alabama",107
"Henry County, Alabama",23
"Houston County, Alabama",383
"Jackson County, Alabama",105
"Jefferson County, Alabama",3403
"Lamar County, Alabama",46
"Lauderdale County, Alabama",214
"Lawrence County, Alabama",82
"Lee County, Alabama",232
"Limestone County, Alabama",2186
"Lowndes County, Alabama",30
"Macon County, Alabama",38
"Madison County, Alabama",885
"Marengo County, Alabama",20
"Marion County, Alabama",595
"Marshall County, Alabama",218
"Mobile County, Alabama",1321
"Monroe County, Alabama",47
"Montgomery County, Alabama",2605
"Morgan County, Alabama",721
"Perry County, Alabama",15
"Pickens County, Alabama",3
"Pike County, Alabama",84
"Randolph County, Alabama",67
"Russell County, Alabama",295
"St. Clair County, Alabama",1441
"Shelby County, Alabama",168
"Sumter County, Alabama",25
"Talladega County, Alabama",2342
"Tallapoosa County, Alabama",112
"Tuscaloosa County, Alabama",484
"Walker County, Alabama",266
"Washington County, Alabama",0
"Wilcox County, Alabama",163
"Winston County, Alabama",74
"Aleutians East Borough, Alaska",0
"Aleutians West Census Area, Alaska",0
"Anchorage Municipality, Alaska",1169
"Bethel Census Area, Alaska",169
"Bristol Bay Borough, Alaska",0
"Denali Borough, Alaska",0
"Dillingham Census Area, Alaska",0
"Fairbanks North Star Borough, Alaska",285
"Haines Borough, Alaska",0
"Juneau City and Borough, Alaska",158
"Kenai Peninsula Borough, Alaska",825
"Ketchikan Gateway Borough, Alaska",52
"Kodiak Island Borough, Alaska",0
"Lake and Peninsula Borough, Alaska",0
"Matanuska-Susitna Borough, Alaska",574
"Nome Census Area, Alaska",92
"North Slope Borough, Alaska",0
"Northwest Arctic Borough, Alaska",3
"Prince of Wales-Outer Ketchikan Census Area, Alaska",0
"Sitka City and Borough, Alaska",0
"Skagway-Hoonah-Angoon Census Area, Alaska",0
"Southeast Fairbanks Census Area, Alaska",0
"Valdez-Cordova Census Area, Alaska",0
"Wade Hampton Census Area, Alaska",0
"Wrangell-Petersburg Census Area, Alaska",4
"Yakutat City and Borough, Alaska",0
"Yukon-Koyukuk Census Area, Alaska",0
"Apache County, Arizona",522
"Cochise County, Arizona",2395
"Coconino County, Arizona",158
"Gila County, Arizona",434
"Graham County, Arizona",2806
"Greenlee County, Arizona",22
"La Paz County, Arizona",255
"Maricopa County, Arizona",13884
"Mohave County, Arizona",345
"Navajo County, Arizona",1486
"Pima County, Arizona",6916
"Pinal County, Arizona",13552
"Santa Cruz County, Arizona",43
"Yavapai County, Arizona",200
"Yuma County, Arizona",2765
"Arkansas County, Arkansas",67
"Ashley County, Arkansas",45
