Geography,Estimate..Total..race.and.ethnicity..Total..both.sexes...Number
"Autauga County, Alabama",30
"Baldwin County, Alabama",215
"Blount County, Alabama",225
"Calhoun County, Alabama",150
"Coffee County, Alabama",390
"Colbert County, Alabama",110
"Cullman County, Alabama",560
"Dale County, Alabama",75
"DeKalb County, Alabama",490
"Elmore County, Alabama",55
"Etowah County, Alabama",110
"Houston County, Alabama",250
"Jackson County, Alabama",105
"Jefferson County, Alabama",105
"Lauderdale County, Alabama",120
"Lee County, Alabama",115
"Limestone County, Alabama",135
"Madison County, Alabama",350
"Marshall County, Alabama",205
"Mobile County, Alabama",240
"Montgomery County, Alabama",190
"Morgan County, Alabama",115
"Russell County, Alabama",50
"St. Clair County, Alabama",120
"Shelby County, Alabama",110
"Talladega County, Alabama",190
"Tuscaloosa County, Alabama",105
"Walker County, Alabama",85
"Anchorage Municipality, Alaska",60
"Fairbanks North Star Borough, Alaska",20
"Kenai Peninsula Borough, Alaska",35
"Matanuska-Susitna Borough, Alaska",70
"Apache County, Arizona",65
"Cochise County, Arizona",395
"Coconino County, Arizona",40
"Gila County, Arizona",70
"Maricopa County, Arizona",1235
"Mohave County, Arizona",100
"Navajo County, Arizona",90
"Pima County, Arizona",255
"Pinal County, Arizona",480
"Yavapai County, Arizona",275
"Yuma County, Arizona",380
"Benton County, Arkansas",985
"Craighead County, Arkansas",380
"Crawford County, Arkansas",105
"Crittenden County, Arkansas",230
"Faulkner County, Arkansas",80
"Garland County, Arkansas",65
"Jefferson County, Arkansas",145
"Lonoke County, Arkansas",385
"Pope County, Arkansas",300
"Pulaski County, Arkansas",280
"Saline County, Arkansas",30
"Sebastian County, Arkansas",175
"Washington County, Arkansas",820
"White County, Arkansas",345
"Alameda County, California",340
"Butte County, California",825
"Contra Costa County, California",300
"El Dorado County, California",135
"Fresno County, California",3155
"Humboldt County, California",505
"Imperial County, California",545
"Kern County, California",1660
"Kings County, California",705
"Lake County, California",225
"Los Angeles County, California",2050
"Madera County, California",620
"Marin County, California",265
"Mendocino County, California",440
"Merced County, California",1195
"Monterey County, California",1110
"Napa County, California",795
"Nevada County, California",145
"Orange County, California",470
"Placer County, California",320
"Riverside County, California",1630
"Sacramento County, California",740
"San Benito County, California",260
"San Bernardino County, California",600
"San Diego County, California",1485
"San Francisco County, California",210
"San Joaquin County, California",1715
"San Luis Obispo County, California",1105
"San Mateo County, California",335
"Santa Barbara County, California",1475
"Santa Clara County, California",840
"Santa Cruz County, California",485
"Shasta County, California",280
"Solano County, California",265
"Sonoma County, California",1205
"Stanislaus County, California",1950
"Sutter County, California",375
"Tehama County, California",405
"Tulare County, California",2500
"Tuolumne County, California",135
"Ventura County, California",1160
"Yolo County, California",430
"Yuba County, California",205
"Adams County, Colorado",345
"Arapahoe County, Colorado",145
"Boulder County, Colorado",300
"Broomfield County, Colorado",15
"Denver County, Colorado",175
"Douglas County, Colorado",100
"Eagle County, Colorado",140
"El Paso County, Colorado",360
"Garfield County, Colorado",100
"Jefferson County, Colorado",370
"La Plata County, Colorado",155
"Larimer County, Colorado",655
"Mesa County, Colorado",415
"Pueblo County, Colorado",355
"Weld County, Colorado",1610
"Fairfield County, Connecticut",295
"Hartford County, Connecticut",395
"Litchfield County, Connecticut",400
"Middlesex County, Connecticut",40
"New Haven County, Connecticut",220
"New London County, Connecticut",150
"Tolland County, Connecticut",170
"Windham County, Connecticut",90
"Kent County, Delaware",345
"New Castle County, Delaware",95
"Sussex County, Delaware",950
"District of Columbia, District of Columbia",110
"Alachua County, Florida",425
"Bay County, Florida",55
"Brevard County, Florida",220
"Broward County, Florida",235
"Charlotte County, Florida",60
"Citrus County, Florida",250
"Clay County, Florida",50
"Collier County, Florida",335
"Columbia County, Florida",40
"Duval County, Florida",140
"Escambia County, Florida",80
"Flagler County, Florida",60
"Hernando County, Florida",80
"Highlands County, Florida",185
"Hillsborough County, Florida",1080
"Indian River County, Florida",140
"Lake County, Florida",345
"Lee County, Florida",300
"Leon County, Florida",110
"Manatee County, Florida",305
"Marion County, Florida",870
"Martin County, Florida",110
"Miami-Dade County, Florida",935
"Monroe County, Florida",155
"Nassau County, Florida",20
"Okaloosa County, Florida",20
"Orange County, Florida",525
"Osceola County, Florida",160
"Palm Beach County, Florida",670
"Pasco County, Florida",210
"Pinellas County, Florida",170
"Polk County, Florida",615
"Putnam County, Florida",205
"St. Johns County, Florida",140
"St. Lucie County, Florida",150
"Santa Rosa County, Florida",45
"Sarasota County, Florida",50
"Seminole County, Florida",130
"Sumter County, Florida",200
"Volusia County, Florida",270
"Walton County, Florida",35
"Barrow County, Georgia",70
"Bartow County, Georgia",215
"Bibb County, Georgia",15
"Bulloch County, Georgia",175
"Camden County, Georgia",4
"Carroll County, Georgia",215
"Catoosa County, Georgia",110
"Chatham County, Georgia",105
"Cherokee County, Georgia",40
"Clarke County, Georgia",80
"Clayton County, Georgia",45
"Cobb County, Georgia",60
"Columbia County, Georgia",20
"Coweta County, Georgia",85
"DeKalb County, Georgia",85
"Dougherty County, Georgia",55
"Douglas County, Georgia",30
"Effingham County, Georgia",75
"Floyd County, Georgia",50
"Forsyth County, Georgia",105
"Fulton County, Georgia",215
"Glynn County, Georgia",25
"Gordon County, Georgia",65
"Gwinnett County, Georgia",150
"Hall County, Georgia",205
"Henry County, Georgia",80
"Houston County, Georgia",75
"Jackson County, Georgia",205
"Lowndes County, Georgia",115
"Muscogee County, Georgia",55
"Newton County, Georgia",55
"Paulding County, Georgia",60
"Richmond County, Georgia",25
"Spalding County, Georgia",15
"Troup County, Georgia",60
"Walker County, Georgia",75
"Walton County, Georgia",35
"Whitfield County, Georgia",150
"Hawaii County, Hawaii",1785
"Honolulu County, Hawaii",980
"Kauai County, Hawaii",230
"Maui County, Hawaii",475
"Ada County, Idaho",340
"Bannock County, Idaho",145
"Bonneville County, Idaho",195
"Canyon County, Idaho",825
"Kootenai County, Idaho",155
"Twin Falls County, Idaho",655
"Adams County, Illinois",345
"Boone County, Illinois",135
"Champaign County, Illinois",575
"Coles County, Illinois",140
"Cook County, Illinois",900
"DeKalb County, Illinois",280
"DuPage County, Illinois",185
"Grundy County, Illinois",150
"Henry County, Illinois",410
"Jackson County, Illinois",145
"Kane County, Illinois",410
"Kankakee County, Illinois",420
"Kendall County, Illinois",160
"Knox County, Illinois",355
"Lake County, Illinois",85
"LaSalle County, Illinois",685
"McHenry County, Illinois",405
"McLean County, Illinois",590
"Macon County, Illinois",315
"Madison County, Illinois",345
"Ogle County, Illinois",455
